department,province,district,join_key,matched,ubigeo,shape_department,shape_province,shape_district
Cusco,Cusco,San Sebastian,CUSCO|CUSCO|SAN SEBASTIAN,True,080105,CUSCO,CUSCO,SAN SEBASTIAN
Arequipa,Arequipa,Miraflores,AREQUIPA|AREQUIPA|MIRAFLORES,True,040110,AREQUIPA,AREQUIPA,MIRAFLORES
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,AREQUIPA|AREQUIPA|JOSE LUIS BUSTAMANTE Y RIVERO,True,040129,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO
Arequipa,Arequipa,Jacobo Hunter,AREQUIPA|AREQUIPA|JACOBO HUNTER,True,040107,AREQUIPA,AREQUIPA,JACOBO HUNTER
Lima,Lima,San Luis,LIMA|LIMA|SAN LUIS,True,150134,LIMA,LIMA,SAN LUIS
Piura,Piura,Catacaos,PIURA|PIURA|CATACAOS,True,200105,PIURA,PIURA,CATACAOS
Lima,Lima,Carabayllo,LIMA|LIMA|CARABAYLLO,True,150106,LIMA,LIMA,CARABAYLLO
Piura,Piura,Castilla,PIURA|PIURA|CASTILLA,True,200104,PIURA,PIURA,CASTILLA
Lima,Lima,Los Olivos,LIMA|LIMA|LOS OLIVOS,True,150117,LIMA,LIMA,LOS OLIVOS
Piura,Piura,Piura,PIURA|PIURA|PIURA,True,200101,PIURA,PIURA,PIURA
Lima,Lima,Punta Negra,LIMA|LIMA|PUNTA NEGRA,True,150127,LIMA,LIMA,PUNTA NEGRA
Junin,Huancayo,Pilcomayo,JUNIN|HUANCAYO|PILCOMAYO,True,120125,JUNIN,HUANCAYO,PILCOMAYO
Lima,Lima,Barranco,LIMA|LIMA|BARRANCO,True,150104,LIMA,LIMA,BARRANCO
Lambayeque,Chiclayo,Pimentel,LAMBAYEQUE|CHICLAYO|PIMENTEL,True,140112,LAMBAYEQUE,CHICLAYO,PIMENTEL
Lima,Lima,Comas,LIMA|LIMA|COMAS,True,150110,LIMA,LIMA,COMAS
Lambayeque,Chiclayo,Chiclayo,LAMBAYEQUE|CHICLAYO|CHICLAYO,True,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO
Cajamarca,Santa Cruz,Santa Cruz,CAJAMARCA|SANTA CRUZ|SANTA CRUZ,True,061301,CAJAMARCA,SANTA CRUZ,SANTA CRUZ
Cajamarca,Celendin,Celendin,CAJAMARCA|CELENDIN|CELENDIN,True,060301,CAJAMARCA,CELENDIN,CELENDIN
Lima,Cañete,Mala,LIMA|CANETE|MALA,True,150509,LIMA,CAÑETE,MALA
Ica,Ica,Parcona,ICA|ICA|PARCONA,True,110106,ICA,ICA,PARCONA
Arequipa,Arequipa,Yanahuara,AREQUIPA|AREQUIPA|YANAHUARA,True,040126,AREQUIPA,AREQUIPA,YANAHUARA
Puno,San Roman,Caracoto,PUNO|SAN ROMAN|CARACOTO,True,211104,PUNO,SAN ROMAN,CARACOTO
Lima,Lima,Puente Piedra,LIMA|LIMA|PUENTE PIEDRA,True,150125,LIMA,LIMA,PUENTE PIEDRA
Junin,Chanchamayo,Chanchamayo,JUNIN|CHANCHAMAYO|CHANCHAMAYO,True,120301,JUNIN,CHANCHAMAYO,CHANCHAMAYO
La Libertad,Trujillo,El Porvenir,LA LIBERTAD|TRUJILLO|EL PORVENIR,True,130102,LA LIBERTAD,TRUJILLO,EL PORVENIR
Lima,Cañete,Chilca,LIMA|CANETE|CHILCA,True,150505,LIMA,CAÑETE,CHILCA
Ica,Chincha,Alto Laran,ICA|CHINCHA|ALTO LARAN,True,110202,ICA,CHINCHA,ALTO LARAN
Lima,Lima,El Agustino,LIMA|LIMA|EL AGUSTINO,True,150111,LIMA,LIMA,EL AGUSTINO
Lima,Lima,Breña,LIMA|LIMA|BRENA,True,150105,LIMA,LIMA,BREÑA
Ica,Chincha,Chincha Alta,ICA|CHINCHA|CHINCHA ALTA,True,110201,ICA,CHINCHA,CHINCHA ALTA
Ica,Ica,Ica,ICA|ICA|ICA,True,110101,ICA,ICA,ICA
Junin,Huancayo,San Agustin,JUNIN|HUANCAYO|SAN AGUSTIN,True,120129,JUNIN,HUANCAYO,SAN AGUSTIN
Lima,Cañete,Asia,LIMA|CANETE|ASIA,True,150502,LIMA,CAÑETE,ASIA
Lambayeque,Chiclayo,Jose Leonardo Ortiz,LAMBAYEQUE|CHICLAYO|JOSE LEONARDO ORTIZ,True,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ
Puno,San Roman,San Miguel,PUNO|SAN ROMAN|SAN MIGUEL,True,211105,PUNO,SAN ROMAN,SAN MIGUEL
Lima,Lima,San Juan De Lurigancho,LIMA|LIMA|SAN JUAN DE LURIGANCHO,True,150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO
Lima,Lima,San Martin De Porres,LIMA|LIMA|SAN MARTIN DE PORRES,True,150135,LIMA,LIMA,SAN MARTIN DE PORRES
Tumbes,Tumbes,Tumbes,TUMBES|TUMBES|TUMBES,True,240101,TUMBES,TUMBES,TUMBES
Arequipa,Arequipa,Socabaya,AREQUIPA|AREQUIPA|SOCABAYA,True,040122,AREQUIPA,AREQUIPA,SOCABAYA
Ica,Chincha,Chincha Baja,ICA|CHINCHA|CHINCHA BAJA,True,110204,ICA,CHINCHA,CHINCHA BAJA
Lima,Lima,Independencia,LIMA|LIMA|INDEPENDENCIA,True,150112,LIMA,LIMA,INDEPENDENCIA
Lima,Huaura,Huaura,LIMA|HUAURA|HUAURA,True,150806,LIMA,HUAURA,HUAURA
Lambayeque,Chiclayo,La Victoria,LAMBAYEQUE|CHICLAYO|LA VICTORIA,True,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA
Ica,Chincha,Pueblo Nuevo,ICA|CHINCHA|PUEBLO NUEVO,True,110207,ICA,CHINCHA,PUEBLO NUEVO
San Martin,Moyobamba,Moyobamba,SAN MARTIN|MOYOBAMBA|MOYOBAMBA,True,220101,SAN MARTIN,MOYOBAMBA,MOYOBAMBA
Ica,Chincha,Sunampe,ICA|CHINCHA|SUNAMPE,True,110210,ICA,CHINCHA,SUNAMPE
Tumbes,Contralmirante Villar,Canoas De Punta Sal,TUMBES|CONTRALMIRANTE VILLAR|CANOAS DE PUNTA SAL,True,240203,TUMBES,CONTRALMIRANTE VILLAR,CANOAS DE PUNTA SAL
Ica,Chincha,El Carmen,ICA|CHINCHA|EL CARMEN,True,110205,ICA,CHINCHA,EL CARMEN
Callao,Callao,Mi Peru,CALLAO|CALLAO|MI PERU,True,070107,CALLAO,CALLAO,MI PERU
Lima,Cañete,Cerro Azul,LIMA|CANETE|CERRO AZUL,True,150504,LIMA,CAÑETE,CERRO AZUL
Junin,Junin,Carhuamayo,JUNIN|JUNIN|CARHUAMAYO,True,120502,JUNIN,JUNIN,CARHUAMAYO
Huancavelica,Tayacaja,Pampas,HUANCAVELICA|TAYACAJA|PAMPAS,True,090701,HUANCAVELICA,TAYACAJA,PAMPAS
Cusco,Acomayo,Pomacanchi,CUSCO|ACOMAYO|POMACANCHI,True,080205,CUSCO,ACOMAYO,POMACANCHI
